alpha,cl,cd,cm
-40.0,-0.9924321856892704,0.3666875096982452,0.0084775391725288
-38.9873417721519,-0.981074199853602,0.3601972320778635,0.0075853017900165
-37.9746835443038,-0.9644713076596022,0.3507098651098634,0.0062709744671729
-36.962025316455694,-0.9468330713560196,0.3406308729363876,0.0048520350232551
-35.949367088607595,-0.929113924050633,0.3305056459047381,0.0033915960682221
-34.936708860759495,-0.9113924050632912,0.3203790636262571,0.0018884225600502
-33.924050632911396,-0.8936708860759495,0.310252481347776,0.0003423946332759
-32.91139240506329,-0.8759493670886076,0.3001258990692951,-0.0012394220309222
-31.89873417721519,-0.858227848101266,0.289999316790814,-0.0028439914680403
-30.88607594936709,-0.8405063291139241,0.2798727345123331,-0.0044534510044749
-29.873417721518987,-0.8227848101265823,0.269746152233852,-0.006045036438083
-28.860759493670887,-0.8050632911392407,0.259619569955371,-0.0075916018598108
-27.848101265822784,-0.7873417721518987,0.24949298767689,-0.0090667044899792
-26.83544303797468,-0.7696202531645571,0.2393664053984089,-0.0104542587506756
-25.82278481012658,-0.7518987341772153,0.2292398231199279,-0.0117542141101941
-24.81012658227848,-0.7341772151898736,0.2191132408414469,-0.0129765367247123
-23.79746835443038,-0.7164556962025317,0.2089866585629659,-0.0141283643962764
-22.784810126582276,-0.6987341772151898,0.1988600762844849,-0.0152045864138039
-21.772151898734176,-0.6810126582278482,0.1887334221751977,-0.0161841120357355
-20.759493670886073,-0.6632911392405063,0.1786042584100697,-0.0170275501209055
-19.746835443037973,-0.6455696202531644,0.1684418713343404,-0.0176749927167336
-18.73417721518987,-0.6278481012658228,0.1580999102634382,-0.0180492357843215
-17.72151898734177,-0.6101265822784809,0.1473471684963303,-0.0180700960570458
-16.708860759493668,-0.5924050632911392,0.1362800129394841,-0.0176763596500012
-15.696202531645568,-0.5746835443037974,0.1254261272115679,-0.0168429669100573
-14.683544303797467,-0.5569620253164558,0.1151617443851166,-0.0155810370138132
-13.670886075949365,-0.5392405063291139,0.1055746361038155,-0.0139168182794151
-12.658227848101259,-0.521518987341772,0.0966721145761066,-0.0118708617852474
-11.645569620253163,-0.5037974683544304,0.088454402396683,-0.0095281600516078
-10.632911392405061,-0.4860759493670885,0.0809214995655447,-0.0072019817466368
-9.62025316455696,-0.4683544303797468,0.0740734060826917,-0.005115801996162
-8.607594936708852,-0.450632911392405,0.067910121948124,-0.0028443233166966
-7.594936708860757,-0.4329113924050632,0.0624316471618417,-3.6452051135127175e-05
-6.582278481012656,-0.4151898734177215,0.0576379817238446,0.0029919492018114
-5.569620253164555,-0.3974683544303797,0.0535291256341328,0.006003541153387
-4.556962025316447,-0.3796983599805817,0.0501050788927063,0.0090236169944129
-3.5443037974683516,-0.3603484992337837,0.0473658414995651,0.0122099778382917
-2.5316455696202507,-0.3222843534315535,0.0453114134547092,0.0158793411065314
-1.5189873417721433,-0.2068403454938305,0.0439417947581386,0.020398215042288
-0.506329113924042,0.0070062171384976,0.0432569854098533,0.0260914347570684
0.5063291139240478,0.231935873836867,0.0432569854098533,0.0333965458036218
1.5189873417721491,0.4282464274568285,0.0439417947581386,0.0429631418250541
2.5316455696202507,0.6119018183925105,0.0453114134547092,0.0552444470042959
3.5443037974683578,0.7889557084483838,0.0473658414995651,0.0700090143089739
4.5569620253164524,0.9583872470448532,0.0501050788927063,0.0863074527324561
5.569620253164555,1.118434777450782,0.0535291256341328,0.1028836090476761
6.582278481012661,1.2673112824634285,0.0576379817238446,0.1186331037381387
7.5949367088607636,1.403229744880049,0.0624316471618417,0.1321493081680162
8.607594936708864,1.5244031474979014,0.0679101219481241,0.1414967374592819
9.62025316455696,1.6290444731142424,0.0740734060826918,0.1458482193682207
10.632911392405061,1.7153667045263306,0.0809214995655448,0.1469632812554331
11.645569620253168,1.7815828245314227,0.088454402396683,0.147136714928944
12.65822784810127,1.825905815926776,0.0966721145761067,0.1449971764040922
13.670886075949365,1.846548661509648,0.1055746361038155,0.1375804838628166
14.683544303797476,1.8417243440772957,0.1151619669798097,0.1259154254676208
15.696202531645575,1.8096134046974723,0.1254338136032574,0.1123821106679184
16.708860759493675,1.7474460628144244,0.1363805627291552,0.0968264695161883
17.72151898734177,1.6433253620575687,0.1478874852557456,0.0785969152617977
18.73417721518987,1.471956716180773,0.1594709677928448,0.0593506189973077
19.74683544303798,1.2785974183505182,0.1704910480263303,0.0422777070328919
20.75949367088608,1.178145459796188,0.1809104315522292,0.0293641910331165
21.772151898734183,1.1607295774625834,0.1910842729645906,0.0205043535265713
22.784810126582283,1.163978324853136,0.2012142119580732,0.0146586119683379
23.797468354430382,1.168987341772152,0.2113408867096844,0.0106978147466981
24.810126582278485,1.1740506329113924,0.2214674689881655,0.007636058177266
25.822784810126592,1.179113924050633,0.2315940512666465,0.0048296602489379
26.83544303797468,1.1841772151898735,0.2417206335451275,0.0020182302977597
27.848101265822788,1.189240506329114,0.2518472158236085,-0.0008207548285105
28.860759493670887,1.1943037974683546,0.2619737981020895,-0.0036288454837959
29.873417721518994,1.199367088607595,0.2721003803805706,-0.0063578027542527
30.886075949367093,1.2044303797468356,0.2822269626590515,-0.0089963514488947
31.89873417721519,1.2094936708860762,0.2923535449375326,-0.0115516979947134
32.911392405063296,1.2145569620253167,0.3024801272160136,-0.0140212365691891
33.9240506329114,1.2196202531645568,0.3126067094944946,-0.0163851632880042
34.936708860759495,1.2246835443037978,0.3227332917729757,-0.0186174980973895
35.9493670886076,1.229746835443038,0.3328598740514567,-0.0206969537941248
36.96202531645571,1.2348094489588628,0.3429851010831062,-0.0226098149942834
37.9746835443038,1.2398489450456007,0.353064093256582,-0.0243431082452566
38.98734177215191,1.2445926285296007,0.3625514602245819,-0.0258279618350168
40.0,1.2478377673397911,0.3690417378449638,-0.0267774391133738
